Sex,Diet,Transport,Vehicle Monthly Distance Km,CarbonEmission
female,omnivore,walk/bicycle,1,1556
male,omnivore,public,638,1847
female,omnivore,private,8641,2778
male,omnivore,walk/bicycle,46,1828
female,vegetarian,private,2871,1684
female,omnivore,public,978,3503
female,omnivore,public,1585,2540
female,vegan,walk/bicycle,92,838
female,vegetarian,private,4197,3559
female,vegan,public,199,1237
female,omnivore,public,732,1406
male,vegan,public,584,1812
male,pescatarian,public,476,2784
female,omnivore,public,1507,2554
male,vegetarian,private,6915,1203
female,vegan,public,133,1167
male,vegetarian,walk/bicycle,9,1279
female,vegan,walk/bicycle,34,842
male,vegetarian,private,9359,2654
female,pescatarian,walk/bicycle,62,830
male,vegan,public,1681,1624
male,vegetarian,walk/bicycle,93,1439
male,omnivore,walk/bicycle,56,2904
female,pescatarian,private,3509,4103
female,vegetarian,walk/bicycle,37,1060
male,omnivore,private,6731,4203
female,vegetarian,public,1388,856
male,vegetarian,private,159,2433
male,vegetarian,private,7976,4483
male,omnivore,public,1032,1661
male,vegan,public,1351,1484
female,vegetarian,public,436,2955
female,vegan,private,4595,2590
male,vegetarian,public,770,1166
female,omnivore,public,1632,1742
female,pescatarian,public,69,1628
male,pescatarian,public,1876,2090
male,vegan,public,158,1327
female,omnivore,public,838,2673
male,vegetarian,private,2723,2664
female,vegan,public,593,1239
female,vegan,private,4910,2991
female,omnivore,walk/bicycle,61,1688
female,omnivore,walk/bicycle,54,1563
male,pescatarian,private,4425,3127
male,omnivore,walk/bicycle,85,4095
female,vegetarian,private,7434,2486
male,omnivore,private,7258,5082
male,vegan,walk/bicycle,7,2160
male,vegetarian,walk/bicycle,74,2091
male,vegan,walk/bicycle,37,1696
male,vegan,private,1170,1009
male,omnivore,private,6890,2134
male,vegan,public,506,2047
male,omnivore,walk/bicycle,99,2190
female,vegetarian,private,1695,1177
female,pescatarian,private,5671,1814
female,omnivore,private,8553,1284
male,pescatarian,public,1418,1839
female,pescatarian,public,382,1026
female,omnivore,private,5005,2600
female,vegetarian,walk/bicycle,77,2189
male,vegetarian,public,194,1500
male,vegetarian,public,1446,1685
female,vegan,walk/bicycle,58,1914
female,vegan,private,7570,2845
female,vegan,private,8298,2152
female,pescatarian,private,3216,2577
female,omnivore,private,9945,4220
male,pescatarian,public,499,1199
female,vegan,public,1426,1552
male,omnivore,private,95,3294
female,vegan,private,1467,3243
female,pescatarian,public,1172,1675
female,vegetarian,public,1212,1304
male,omnivore,walk/bicycle,99,2878
male,pescatarian,private,2787,1126
male,omnivore,walk/bicycle,7,1489
male,omnivore,private,3347,1954
female,vegan,public,1475,1957
female,pescatarian,public,1873,3778
female,vegan,public,1661,2069
male,omnivore,public,774,2421
male,vegan,public,1043,2801
female,pescatarian,private,9006,5547
male,vegan,walk/bicycle,15,2343
male,vegetarian,public,1199,2232
female,vegetarian,walk/bicycle,20,2309
male,vegan,private,4058,2233
male,vegan,walk/bicycle,95,1419
male,omnivore,walk/bicycle,71,2087
female,vegetarian,public,1603,2829
female,pescatarian,public,1595,3057
male,vegan,walk/bicycle,92,2337
female,vegetarian,walk/bicycle,80,1651
male,vegetarian,walk/bicycle,21,2214
female,omnivore,walk/bicycle,31,1402
male,pescatarian,walk/bicycle,3,2317
male,vegetarian,private,2698,2027
female,pescatarian,private,1580,1543
female,omnivore,private,5541,2522
female,omnivore,private,7014,3996
male,omnivore,public,1122,2673
male,vegan,private,1644,2235
female,vegetarian,public,1854,1378
male,pescatarian,walk/bicycle,72,2939
male,vegan,private,4383,4311
female,pescatarian,walk/bicycle,69,2107
female,omnivore,private,5954,3419
male,vegetarian,private,9258,3713
male,vegan,private,2041,1484
male,omnivore,private,2033,2517
female,vegetarian,public,1958,1890
male,vegetarian,walk/bicycle,58,3071
male,vegan,walk/bicycle,92,2073
female,vegetarian,walk/bicycle,93,2233
female,omnivore,private,7926,1644
male,omnivore,public,1988,2957
male,vegetarian,public,757,2278
female,omnivore,private,8497,2813
female,pescatarian,walk/bicycle,62,1983
female,vegan,private,5323,2779
male,vegetarian,walk/bicycle,17,2212
male,vegan,public,5,2910
female,pescatarian,public,1997,1051
male,vegan,private,7153,5044
male,omnivore,public,1301,1595
male,vegan,private,2864,3745
male,vegan,private,6029,3084
male,pescatarian,private,825,2280
male,pescatarian,public,660,3669
female,pescatarian,public,967,1724
male,omnivore,public,1111,1695
male,vegan,public,884,2423
male,vegan,private,704,2130
female,omnivore,private,2514,2224
female,omnivore,private,3208,3058
male,pescatarian,public,1954,1994
female,vegetarian,walk/bicycle,92,1605
male,omnivore,public,1438,1751
female,vegan,public,1923,2405
male,pescatarian,public,846,1941
female,omnivore,walk/bicycle,65,2195
female,omnivore,walk/bicycle,41,2106
male,pescatarian,public,635,2516
female,vegetarian,private,9842,2956
female,pescatarian,walk/bicycle,77,1678
male,omnivore,private,7953,4357
male,vegetarian,walk/bicycle,48,2249
female,pescatarian,walk/bicycle,86,776
male,pescatarian,walk/bicycle,18,2794
female,vegetarian,walk/bicycle,65,1939
female,omnivore,private,1844,2250
female,pescatarian,walk/bicycle,91,1155
male,omnivore,public,1749,1203
male,pescatarian,private,4397,4031
female,vegetarian,public,1008,2364
male,vegan,walk/bicycle,19,2446
female,pescatarian,private,6419,4445
female,vegetarian,walk/bicycle,95,1202
female,vegan,walk/bicycle,8,1670
female,pescatarian,private,7008,5133
male,vegan,public,1601,2698
female,pescatarian,walk/bicycle,0,2092
male,vegan,private,1072,1086
female,vegetarian,public,695,2835
female,omnivore,walk/bicycle,42,987
male,vegan,private,9316,1790
male,vegetarian,private,9507,6621
male,vegetarian,public,1635,1749
female,vegetarian,public,810,2721
female,vegetarian,private,1899,1900
male,vegetarian,public,103,1756
male,vegetarian,walk/bicycle,71,1449
male,vegetarian,walk/bicycle,86,1400
male,omnivore,public,818,1441
male,pescatarian,private,4809,4031
female,vegetarian,walk/bicycle,92,1284
female,omnivore,private,3610,1733
female,omnivore,private,5696,1645
female,vegetarian,public,1795,1374
female,pescatarian,walk/bicycle,98,1674
male,vegetarian,public,1895,2811
female,vegetarian,public,1321,1007
female,pescatarian,public,824,1466
male,omnivore,public,984,2173
female,omnivore,walk/bicycle,95,2420
female,omnivore,private,9746,1660
female,vegetarian,private,3315,3973
female,pescatarian,walk/bicycle,32,1387
male,omnivore,private,7885,6810
male,pescatarian,walk/bicycle,51,1130
female,vegetarian,private,2916,2393
male,omnivore,walk/bicycle,54,2038
male,vegan,public,1758,1652
female,vegetarian,public,1414,1475
male,omnivore,public,479,1867
male,vegan,walk/bicycle,25,1467
female,vegetarian,public,575,1873
female,vegan,public,23,2212
male,pescatarian,public,1401,3044
male,omnivore,public,197,1795
male,pescatarian,public,780,2059
female,vegan,walk/bicycle,22,1681
female,vegan,walk/bicycle,56,1624
female,vegan,public,57,2333
female,pescatarian,private,3805,3171
female,vegetarian,private,7958,3492
female,pescatarian,public,137,1526
female,omnivore,walk/bicycle,82,1311
female,pescatarian,walk/bicycle,8,2570
male,pescatarian,public,298,2474
male,omnivore,public,308,1404
male,vegetarian,private,8198,4612
male,vegetarian,public,1092,2911
male,omnivore,walk/bicycle,20,2635
female,vegetarian,walk/bicycle,42,1735
female,omnivore,public,854,3119
female,omnivore,private,1401,766
male,vegan,private,4293,2297
male,omnivore,private,5235,3670
female,vegetarian,walk/bicycle,42,2822
female,omnivore,public,317,2486
female,vegetarian,public,762,1650
male,pescatarian,walk/bicycle,26,3202
male,pescatarian,walk/bicycle,99,1133
male,vegetarian,walk/bicycle,0,3289
female,vegetarian,walk/bicycle,70,2426
female,vegetarian,walk/bicycle,70,2795
male,pescatarian,private,1771,1608
female,pescatarian,public,1692,2438
female,pescatarian,public,909,1528
female,omnivore,walk/bicycle,81,3211
female,vegetarian,private,8358,3941
female,vegan,walk/bicycle,67,2454
male,vegan,public,1862,2198
female,omnivore,private,3800,2126
female,vegetarian,public,1287,1581
male,vegetarian,public,1320,2153
male,omnivore,private,7468,4422
female,pescatarian,public,480,1667
male,omnivore,public,1301,2768
female,omnivore,walk/bicycle,50,1493
female,omnivore,public,1598,1974
female,vegetarian,public,963,1783
male,vegan,walk/bicycle,3,2380
male,vegan,walk/bicycle,42,2324
male,pescatarian,private,732,2262
male,vegan,walk/bicycle,25,2173
female,omnivore,private,196,1662
female,pescatarian,public,638,1781
male,vegan,walk/bicycle,50,2176
male,vegan,walk/bicycle,16,1731
male,pescatarian,private,5393,2303
male,vegan,walk/bicycle,83,2162
male,vegan,private,7749,6069
male,omnivore,public,860,3811
male,omnivore,walk/bicycle,65,1097
female,pescatarian,private,2761,2188
male,vegan,private,9445,3779
male,vegetarian,public,64,1179
female,vegan,private,6726,848
male,pescatarian,walk/bicycle,81,2239
female,vegetarian,walk/bicycle,54,1509
female,omnivore,walk/bicycle,37,3058
male,vegan,walk/bicycle,18,1825
male,vegan,walk/bicycle,70,2034
female,pescatarian,public,203,1997
male,pescatarian,private,5287,2801
female,omnivore,walk/bicycle,52,2753
female,pescatarian,public,1934,2912
male,omnivore,walk/bicycle,69,1642
male,pescatarian,private,4306,2207
female,vegetarian,public,840,1283
female,vegetarian,walk/bicycle,53,1161
male,vegetarian,public,1935,2156
male,vegetarian,walk/bicycle,32,1639
female,pescatarian,private,555,2278
female,pescatarian,private,6898,2964
male,vegetarian,public,1643,1183
female,vegan,walk/bicycle,57,2274
male,vegan,public,1850,1544
female,vegan,public,1996,2404
female,vegan,private,5413,2108
female,vegan,walk/bicycle,6,2094
male,vegan,public,1727,1967
female,omnivore,walk/bicycle,75,1750
male,vegetarian,private,5499,3800
female,omnivore,private,8786,3266
male,pescatarian,public,1531,1704
female,omnivore,walk/bicycle,50,1974
female,pescatarian,private,5310,2288
male,omnivore,walk/bicycle,79,1397
female,vegetarian,public,1215,2336
male,omnivore,private,8809,3799
male,vegan,walk/bicycle,46,2313
female,vegan,private,9285,1616
female,vegetarian,walk/bicycle,2,1353
female,omnivore,private,9352,5015
male,pescatarian,private,8920,2179
female,omnivore,walk/bicycle,25,1376
male,vegan,walk/bicycle,14,1752
male,pescatarian,private,5278,3312
female,omnivore,walk/bicycle,75,2025
female,pescatarian,private,7148,3633
male,omnivore,walk/bicycle,31,2445
female,omnivore,public,2,1151
female,omnivore,walk/bicycle,88,2080
female,vegan,public,342,1164
female,omnivore,public,1962,1037
female,omnivore,private,9014,3949
male,vegan,public,1557,1546
male,vegetarian,public,1537,1219
female,vegetarian,public,293,1304
female,vegan,private,6180,3958
female,omnivore,walk/bicycle,61,851
female,omnivore,walk/bicycle,11,1357
female,omnivore,walk/bicycle,80,1869
male,omnivore,private,8717,3635
female,omnivore,public,1604,2279
male,vegetarian,private,9050,4851
female,vegetarian,walk/bicycle,86,1510
male,vegan,walk/bicycle,21,1447
male,vegetarian,private,1760,2105
female,pescatarian,public,631,891
female,pescatarian,public,755,1336
female,pescatarian,walk/bicycle,1,2207
male,vegetarian,private,6482,5918
male,vegan,walk/bicycle,76,1514
female,vegetarian,public,1795,2499
male,vegan,public,311,1632
male,vegan,public,1959,1826
male,omnivore,walk/bicycle,52,1656
male,omnivore,walk/bicycle,14,2418
male,vegetarian,public,649,1459
male,vegan,walk/bicycle,69,1874
female,vegetarian,walk/bicycle,29,1057
male,vegetarian,walk/bicycle,96,2782
female,vegetarian,walk/bicycle,50,1809
female,pescatarian,private,1614,2612
female,pescatarian,public,601,2866
female,pescatarian,private,4215,2578
female,pescatarian,public,1890,1322
male,vegan,public,909,2249
male,vegetarian,public,1046,3301
male,vegetarian,public,1394,2599
male,omnivore,walk/bicycle,15,2741
female,pescatarian,private,6127,2467
female,omnivore,walk/bicycle,98,1579
male,pescatarian,public,1372,2456
female,vegetarian,public,1978,2161
female,vegetarian,public,1108,1565
male,vegetarian,public,1957,2271
male,pescatarian,public,3,3439
male,omnivore,public,415,2573
female,pescatarian,public,1818,1544
female,vegetarian,public,639,791
female,vegan,public,388,1264
female,omnivore,public,804,3011
male,omnivore,private,4084,2780
female,pescatarian,walk/bicycle,30,1273
female,vegan,public,1488,1332
male,vegetarian,public,447,1594
female,pescatarian,public,1476,2322
female,pescatarian,public,1368,1410
female,omnivore,walk/bicycle,8,3159
male,omnivore,public,1227,1159
male,vegetarian,public,1597,2970
male,vegetarian,public,574,1711
female,vegetarian,walk/bicycle,19,1211
male,vegetarian,walk/bicycle,73,1514
male,vegetarian,public,338,1649
female,vegetarian,public,1527,789
male,vegetarian,walk/bicycle,95,1280
female,vegetarian,walk/bicycle,69,1182
male,vegan,private,2266,2727
male,omnivore,public,885,2299
male,pescatarian,walk/bicycle,56,1174
female,pescatarian,public,1370,1507
male,vegetarian,walk/bicycle,42,4158
male,pescatarian,walk/bicycle,5,1107
male,pescatarian,walk/bicycle,13,2048
female,omnivore,private,3849,1423
female,vegetarian,walk/bicycle,50,3191
female,pescatarian,walk/bicycle,50,1846
female,pescatarian,walk/bicycle,3,2399
female,omnivore,private,9445,3582
female,pescatarian,private,4197,3538
female,omnivore,public,600,1622
male,omnivore,private,1720,1387
male,omnivore,public,1890,2262
male,pescatarian,private,601,2729
female,omnivore,private,6894,2026
female,vegetarian,public,636,1802
female,omnivore,public,1201,2761
male,omnivore,walk/bicycle,48,976
male,vegan,private,5442,2522
male,vegetarian,public,236,2457
female,pescatarian,private,3388,3559
male,omnivore,public,1084,1472
female,omnivore,walk/bicycle,95,3060
female,omnivore,private,5698,2790
male,pescatarian,public,780,1916
male,vegan,walk/bicycle,2,2809
male,pescatarian,walk/bicycle,75,1696
male,pescatarian,public,495,1648
female,vegan,walk/bicycle,95,1208
female,vegan,walk/bicycle,43,2439
female,pescatarian,private,6716,2999
male,pescatarian,public,1840,1471
male,omnivore,public,1386,2471
male,pescatarian,private,3717,2899
male,vegan,walk/bicycle,71,2163
female,omnivore,walk/bicycle,46,1182
female,vegetarian,walk/bicycle,85,2897
female,pescatarian,private,3745,2056
female,vegetarian,walk/bicycle,78,3026
male,pescatarian,public,1046,1084
male,pescatarian,private,9915,4122
male,omnivore,private,1181,1888
male,vegan,private,4044,2960
male,vegetarian,walk/bicycle,1,1761
male,omnivore,public,983,3168
female,vegetarian,private,5151,980
male,vegetarian,public,810,1557
female,vegetarian,private,5711,1523
female,omnivore,private,4670,2551
female,pescatarian,private,6862,3198
female,vegan,private,8095,4960
female,vegan,walk/bicycle,18,2735
female,vegan,public,1780,1581
male,vegan,private,2764,1998
female,pescatarian,private,2061,1734
male,omnivore,private,8886,2797
female,vegan,private,1703,2409
female,vegan,public,1479,2429
male,omnivore,public,1751,2389
male,vegetarian,walk/bicycle,58,1906
female,pescatarian,walk/bicycle,6,1550
female,vegan,walk/bicycle,64,875
female,vegetarian,private,543,1574
female,omnivore,walk/bicycle,20,1870
female,omnivore,walk/bicycle,67,2123
female,pescatarian,walk/bicycle,52,1937
female,pescatarian,walk/bicycle,59,1332
female,vegan,private,7896,1559
male,vegan,walk/bicycle,78,1042
male,vegan,private,5270,3307
male,omnivore,private,1312,2544
female,vegetarian,public,848,2384
female,vegetarian,public,718,1843
female,vegetarian,private,8798,2161
male,vegetarian,public,575,1517
male,omnivore,public,1838,1324
female,pescatarian,public,1279,1348
female,vegan,private,9313,4257
female,vegan,walk/bicycle,41,3037
female,vegan,public,1282,1069
male,vegan,private,6938,5391
male,pescatarian,private,5140,1884
male,vegetarian,private,1545,1721
female,vegan,walk/bicycle,78,889
male,pescatarian,public,1483,2940
female,vegetarian,private,9964,4712
female,vegetarian,walk/bicycle,51,1346
female,omnivore,walk/bicycle,13,1218
female,vegetarian,walk/bicycle,75,771
male,pescatarian,walk/bicycle,97,1339
female,omnivore,public,94,1801
female,vegetarian,public,975,1484
male,vegan,walk/bicycle,4,1619
male,pescatarian,walk/bicycle,69,1027
male,vegetarian,private,3430,3169
female,pescatarian,private,7993,4042
male,vegan,private,4870,4631
male,omnivore,walk/bicycle,21,2305
male,pescatarian,walk/bicycle,31,2951
male,vegan,walk/bicycle,89,1352
female,omnivore,public,1417,2262
female,vegetarian,walk/bicycle,57,863
male,pescatarian,private,9123,2539
male,pescatarian,private,9070,6816
male,pescatarian,walk/bicycle,41,2928
male,vegetarian,walk/bicycle,2,1749
female,omnivore,walk/bicycle,99,1145
male,omnivore,public,1323,3454
male,pescatarian,private,274,2066
female,omnivore,walk/bicycle,16,1062
female,omnivore,private,8390,4260
male,omnivore,private,3379,2128
male,vegetarian,walk/bicycle,98,1982
female,omnivore,walk/bicycle,67,2186
male,vegetarian,walk/bicycle,51,3010
male,vegetarian,private,2215,1562
female,omnivore,public,995,1568
male,vegan,walk/bicycle,82,790
male,pescatarian,public,1405,2566
female,vegetarian,private,9206,626
male,vegetarian,walk/bicycle,31,1501
female,vegetarian,private,5475,3612
female,pescatarian,walk/bicycle,82,2361
male,omnivore,private,9663,4347
male,omnivore,public,1436,2240
male,omnivore,walk/bicycle,76,2045
male,omnivore,public,1253,2677
female,pescatarian,walk/bicycle,65,1793
male,omnivore,public,500,2313
male,pescatarian,walk/bicycle,43,996
female,vegan,private,5774,3222
female,pescatarian,private,2062,1523
male,omnivore,public,18,2412
male,vegetarian,private,1741,3325
female,omnivore,walk/bicycle,63,1910
male,vegan,private,5307,2673
male,pescatarian,public,1984,1644
male,pescatarian,private,7952,4496
male,vegetarian,walk/bicycle,93,1474
female,pescatarian,walk/bicycle,29,2761
male,omnivore,private,2073,2011
male,vegan,private,9371,2209
female,pescatarian,walk/bicycle,7,1911
female,pescatarian,walk/bicycle,36,2551
female,vegan,walk/bicycle,35,1045
male,vegetarian,public,1787,3995
female,pescatarian,private,8250,2901
male,omnivore,public,909,2958
female,pescatarian,public,356,1409
female,vegetarian,walk/bicycle,47,2511
male,vegetarian,private,6142,4173
female,vegan,public,1808,1809
male,pescatarian,public,1578,2850
female,pescatarian,private,3657,1466
female,omnivore,walk/bicycle,92,2403
male,vegan,walk/bicycle,74,1045
male,vegan,public,120,1461
male,vegetarian,walk/bicycle,19,3290
female,vegan,public,521,2278
male,vegetarian,walk/bicycle,83,1443
female,vegan,public,501,2225
male,pescatarian,public,113,3071
male,vegan,public,654,1183
male,pescatarian,public,1733,1580
female,pescatarian,walk/bicycle,83,1386
male,pescatarian,public,707,1384
female,omnivore,private,3756,3439
female,vegan,walk/bicycle,56,1103
female,vegetarian,private,7918,4286
male,pescatarian,private,4757,2272
male,omnivore,private,4411,2482
female,vegan,walk/bicycle,62,1565
female,vegetarian,public,1,2144
male,vegan,walk/bicycle,28,2082
female,vegan,walk/bicycle,43,2129
female,vegetarian,private,5823,1644
male,omnivore,walk/bicycle,8,1494
female,pescatarian,public,1271,1872
female,vegetarian,private,9845,4663
female,vegan,public,1157,2013
male,pescatarian,public,476,2164
female,omnivore,public,482,2314
male,vegetarian,public,319,2610
male,vegetarian,walk/bicycle,50,2898
female,omnivore,private,6395,3314
female,pescatarian,public,1195,1496
male,omnivore,private,4288,3710
male,vegetarian,walk/bicycle,51,2464
male,vegetarian,public,62,1503
female,vegan,public,84,748
female,pescatarian,public,1267,1497
female,vegetarian,public,1920,2175
female,vegetarian,public,1022,1707
female,vegetarian,public,103,2163
female,omnivore,private,6654,965
female,vegan,public,364,1463
male,pescatarian,walk/bicycle,77,1579
female,vegan,public,436,1890
male,omnivore,public,808,2563
male,vegetarian,public,1299,2018
male,omnivore,walk/bicycle,45,3317
